         410855 function calls (410654 primitive calls) in 15.591 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_compressed.py:263(_multiply_2d_with_broadcasting)
     1519    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 Z:\Python311\Lib\concurrent\futures\_base.py:646(__exit__)
        1    0.000    0.000    0.001    0.001 Z:\Python311\Lib\concurrent\futures\thread.py:216(shutdown)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\joblib\hashing.py:62(hash)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\utils\extmath.py:895(svd_flip)
       15    0.000    0.000    0.001    0.000 Z:\Python311\Lib\threading.py:1087(join)
        1    0.000    0.000    0.001    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\utils\validation.py:2845(validate_data)
        1    0.000    0.000    0.000    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_dia.py:226(_sub_sparse)
        1    0.000    0.000    0.000    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_base.py:715(_sub_sparse)
        1    0.000    0.000    0.000    0.000 Z:\Python311\Lib\pickle.py:476(dump)
        3    0.000    0.000    0.000    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\utils\_array_api.py:736(_asarray_with_order)
        1    0.000    0.000    0.000    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\umap\umap_.py:256(nearest_neighbors)
        2    0.000    0.000    0.000    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:1286(fp_write)
      124    0.000    0.000    0.000    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\traitlets\traitlets.py:629(get)
       38    0.000    0.000    0.000    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\sparse\_compressed.py:1109(prune)
